date,state,district,total_enrolments,biometric_updates,demographic_updates,anomaly_score
2025-03-02,Meghalaya,East Khasi Hills,109,0.0,0.0,-0.2099774352319318
2025-03-09,Bihar,Bhagalpur,71,0.0,0.0,-0.21788489856208332
2025-03-09,Bihar,Madhubani,160,0.0,0.0,-0.1751872554823095
2025-03-09,Bihar,Purbi Champaran,190,0.0,0.0,-0.1529370908320063
2025-03-09,Bihar,Sitamarhi,584,0.0,0.0,-0.004921615447172734
2025-03-09,Delhi,West Delhi,232,0.0,0.0,-0.12651904063814146
2025-03-09,Haryana,Faridabad,150,0.0,0.0,-0.18308484587483903
2025-03-09,Haryana,Gurugram,50,0.0,0.0,-0.22386243454696075
2025-03-09,Karnataka,Bengaluru Urban,248,0.0,0.0,-0.11920920374983851
2025-03-09,Madhya Pradesh,Bhind,66,0.0,0.0,-0.21947625232879342
2025-03-09,Madhya Pradesh,Gwalior,70,0.0,0.0,-0.2182826654921538
2025-03-09,Madhya Pradesh,Katni,106,0.0,0.0,-0.21044811583152767
2025-03-09,Maharashtra,Aurangabad,100,0.0,0.0,-0.21089411410624204
2025-03-09,Punjab,Amritsar,49,0.0,0.0,-0.22494786934508326
2025-03-09,Rajasthan,Sikar,94,0.0,0.0,-0.21112435450711087
2025-03-09,Uttar Pradesh,Aligarh,106,0.0,0.0,-0.21044811583152767
2025-03-09,Uttar Pradesh,Bahraich,100,0.0,0.0,-0.21089411410624204
2025-03-09,Uttar Pradesh,Firozabad,64,0.0,0.0,-0.21997907116490656
2025-03-09,Uttar Pradesh,Gautam Buddha Nagar,290,0.0,0.0,-0.09464063324187477
2025-03-09,Uttar Pradesh,Ghaziabad,174,0.0,0.0,-0.16463087973990864
2025-03-09,Uttar Pradesh,Kanpur Nagar,123,0.0,0.0,-0.2006498069152115
2025-03-09,Uttar Pradesh,Lucknow,142,0.0,0.0,-0.18838911265884534
2025-03-09,Uttar Pradesh,Maharajganj,114,0.0,0.0,-0.20701537469654147
2025-03-09,West Bengal,Coochbehar,50,0.0,0.0,-0.22386243454696075
2025-03-09,West Bengal,Dinajpur Uttar,71,0.0,0.0,-0.21788489856208332
2025-03-15,Assam,Kokrajhar,102,0.0,0.0,-0.21086696489889828
2025-03-15,Assam,Marigaon,297,0.0,0.0,-0.09108040451691429
2025-03-15,Assam,Nagaon,56,0.0,0.0,-0.22228703280947243
2025-03-15,Bihar,Madhubani,84,0.0,0.0,-0.21550681262260774
2025-03-15,Bihar,Purbi Champaran,146,0.0,0.0,-0.18695571336066835
2025-03-15,Bihar,Sitamarhi,218,0.0,0.0,-0.1371784687064727
2025-03-15,Delhi,North West Delhi,60,0.0,0.0,-0.22044233787890677
2025-03-15,Delhi,West Delhi,76,0.0,0.0,-0.21871663497945276
2025-03-15,Maharashtra,Parbhani,68,0.0,0.0,-0.21894612126797475
2025-03-15,Meghalaya,West Jaintia Hills,139,0.0,0.0,-0.1912833158148307
2025-03-15,Meghalaya,West Khasi Hills,192,0.0,0.0,-0.1502529967884415
2025-03-15,Uttar Pradesh,Agra,353,0.0,0.0,-0.0689562500306865
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,274,0.0,0.0,-0.10388631321738395
2025-03-15,Uttar Pradesh,Ghaziabad,515,0.0,0.0,-0.020996107821317334
2025-03-15,Uttar Pradesh,Maharajganj,79,0.0,0.0,-0.2182211851897488
2025-03-15,Uttar Pradesh,Saharanpur,253,0.0,0.0,-0.11450742973887312
2025-03-15,Uttar Pradesh,Unnao,130,0.0,0.0,-0.19695089539980476
2025-03-15,Uttarakhand,Haridwar,60,0.0,0.0,-0.22044233787890677
2025-03-20,Andhra Pradesh,Spsr Nellore,116,0.0,0.0,-0.20637895031732617
2025-03-20,Assam,Baksa,38,0.0,0.0,-0.2275853987618069
2025-03-20,Assam,Barpeta,68,0.0,0.0,-0.21894612126797475
2025-03-20,Assam,Bongaigaon,89,0.0,0.0,-0.2129644699522908
2025-03-20,Assam,Chirang,56,0.0,0.0,-0.22228703280947243
2025-03-20,Assam,Dhemaji,85,0.0,0.0,-0.21468775572921622
2025-03-20,Assam,Dhubri,416,0.0,0.0,-0.05008626027216567
2025-03-20,Assam,Dibrugarh,36,0.0,0.0,-0.22707950351749057
2025-03-20,Assam,Hojai,89,0.0,0.0,-0.2129644699522908
2025-03-20,Assam,Kamrup,46,0.0,0.0,-0.2258340865308433
2025-03-20,Assam,Kokrajhar,238,0.0,0.0,-0.12460699765683114
2025-03-20,Assam,Lakhimpur,101,0.0,0.0,-0.21086696489889828
